"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 27 16:23:40 GMT 2023","Thu Jul 27 16:23:42 GMT 2023","1839","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreatePipelineAssertOnDashboard","testCreatePipelineAssertOnDashboard","Check if pipeline project can be created and assert it on Dashboard"
"passed","Thu Jul 27 16:17:13 GMT 2023","Thu Jul 27 16:17:15 GMT 2023","2091","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"passed","Thu Jul 27 16:20:54 GMT 2023","Thu Jul 27 16:20:55 GMT 2023","1003","Surefire suite","Surefire test","tests.MultiConfigurationProjectTest","tests.MultiConfigurationProjectTest","testMultiConfigurationProjectEnable","testMultiConfigurationProjectEnable",""
"passed","Thu Jul 27 16:15:05 GMT 2023","Thu Jul 27 16:15:08 GMT 2023","3295","Surefire suite","Surefire test","tests.OrganizationFolderTest","tests.OrganizationFolderTest","testRenameOrganizationFolder","testRenameOrganizationFolder","Verify that the 'Organization Folder' can be renamed"
"passed","Thu Jul 27 16:10:00 GMT 2023","Thu Jul 27 16:10:07 GMT 2023","7485","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testAddJobsToListView","testAddJobsToListView","Verify that created List Views contains added jobs:Freestyle Poject and Pipeline"
"passed","Thu Jul 27 16:22:57 GMT 2023","Thu Jul 27 16:22:57 GMT 2023","569","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"passed","Thu Jul 27 16:09:57 GMT 2023","Thu Jul 27 16:09:58 GMT 2023","853","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testAddDescription","testAddDescription",""
"passed","Thu Jul 27 16:19:44 GMT 2023","Thu Jul 27 16:19:46 GMT 2023","2679","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testCreateMultiConfigurationProjectInFolder","testCreateMultiConfigurationProjectInFolder","Verify the ability to create a 'Multi-configuration project' in existed folder"
"passed","Thu Jul 27 16:12:11 GMT 2023","Thu Jul 27 16:12:15 GMT 2023","3452","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testAddingGitRepository","testAddingGitRepository","Check the GitHub creation button on the side menu"
"passed","Thu Jul 27 16:19:15 GMT 2023","Thu Jul 27 16:19:16 GMT 2023","1328","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testCreateFolder","testCreateFolder","Verify the ability to create a new folder for organizing items"
"passed","Thu Jul 27 16:19:50 GMT 2023","Thu Jul 27 16:19:51 GMT 2023","696","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testDeleteMultibranchPipelineFromFolder","testDeleteMultibranchPipelineFromFolder","Confirm that the 'Multibranch pipeline' no longer exists within the folder after it has been deleted"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testCreateViewWithExistingName","testCreateViewWithExistingName","Verify that created View contains existing name"
"passed","Thu Jul 27 16:16:10 GMT 2023","Thu Jul 27 16:16:10 GMT 2023","695","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testDeleteNodeByDropDownOnDashboard","testDeleteNodeByDropDownOnDashboard","Delete Node By DropDown On Dashboard"
"passed","Thu Jul 27 16:18:34 GMT 2023","Thu Jul 27 16:18:37 GMT 2023","2878","Surefire suite","Surefire test","tests.MultibranchPipelineTest","tests.MultibranchPipelineTest","testChangeProjectIcon","testChangeProjectIcon","Verify that project icon can be changed"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testNoBuildFreestyleProjectChanges","testNoBuildFreestyleProjectChanges","Verify if Changes Builds Page contains expected text"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testDeleteView","testDeleteView",""
"passed","Thu Jul 27 16:16:32 GMT 2023","Thu Jul 27 16:16:34 GMT 2023","1958","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testFreestyleProjectConfigureByDropdown","testFreestyleProjectConfigureByDropdown","Verify if 'Configure' menu in the Project dropdown menu on the Dashboard leads to 'Configuration' page"
"passed","Thu Jul 27 16:22:49 GMT 2023","Thu Jul 27 16:22:50 GMT 2023","607","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"passed","Thu Jul 27 16:17:00 GMT 2023","Thu Jul 27 16:17:02 GMT 2023","2130","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"passed","Thu Jul 27 16:15:39 GMT 2023","Thu Jul 27 16:15:40 GMT 2023","648","Surefire suite","Surefire test","tests.BuildHistoryTest","tests.BuildHistoryTest","testRssItemsExist","testRssItemsExist","Verify that the icons of three RSS feeds exist on the 'Build History' page"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testListViewAddRegexFilterJobNamesContainingNine","testListViewAddRegexFilterJobNamesContainingNine",""
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testGlobalViewAddFilterBuildQueue","testGlobalViewAddFilterBuildQueue",""
"passed","Thu Jul 27 16:22:48 GMT 2023","Thu Jul 27 16:22:48 GMT 2023","376","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView",""
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testDeleteStatusColumn","testDeleteStatusColumn",""
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","1","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testRenameView","testRenameView","Verify that created List Views was renamed"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","1","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testDeleteFreestyleProject","testDeleteFreestyleProject","Verify deletion of the project using side menu"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testDownstreamProjectSectionAndListOfConnectedProjectsAppearsOnUpstreamProjectStatusPage","testDownstreamProjectSectionAndListOfConnectedProjectsAppearsOnUpstreamProjectStatusPage","Check the downstream project section and list of connected projects appear on the StatusPage of the Upstream project"
"passed","Thu Jul 27 16:12:44 GMT 2023","Thu Jul 27 16:12:46 GMT 2023","2320","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testDeletePipelineFromDashboard","testDeletePipelineFromDashboard","Verify deleted Pipeline name doesn’t exist on a dashboard page if delete Pipeline with a menu button"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","1","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView",""
"passed","Thu Jul 27 16:10:30 GMT 2023","Thu Jul 27 16:10:32 GMT 2023","2467","Surefire suite","Surefire test","tests.FooterComponentTest","tests.FooterComponentTest","testFooterLinkJenkinsIsClickable","testFooterLinkJenkinsIsClickable","Verification that the link redirect to the 'https://www.jenkins.io/'"
"passed","Thu Jul 27 16:19:14 GMT 2023","Thu Jul 27 16:19:14 GMT 2023","164","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testConfigureFolderDisplayNameSaveFolderName","testConfigureFolderDisplayNameSaveFolderName","Verify that the previously changed folder name is saved"
"passed","Thu Jul 27 16:18:28 GMT 2023","Thu Jul 27 16:18:30 GMT 2023","2335","Surefire suite","Surefire test","tests.MultibranchPipelineTest","tests.MultibranchPipelineTest","testAddDescription","testAddDescription","The 'Description' can be added to the Multibranch Pipeline after clicking the 'Configure the project' link"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testDisableProject","testDisableProject","Verify if Project status contains expected text when 'Disable Project' option has been applied"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProjectToIncorrectViaSideMenu","testRenameFreestyleProjectToIncorrectViaSideMenu","Verify if error message arrears and contains expected text when attempting to rename an existing project with invalid data"
"passed","Thu Jul 27 16:22:45 GMT 2023","Thu Jul 27 16:22:45 GMT 2023","655","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"passed","Thu Jul 27 16:19:40 GMT 2023","Thu Jul 27 16:19:42 GMT 2023","2071","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testDeleteFreestyleProjectInFolder","testDeleteFreestyleProjectInFolder","Verify the ability to delete 'Freestyle Project' from the folder"
"passed","Thu Jul 27 16:19:47 GMT 2023","Thu Jul 27 16:19:50 GMT 2023","2513","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testCreateMultibranchPipelineProjectInFolder","testCreateMultibranchPipelineProjectInFolder","Confirm that the 'Multibranch Pipeline' project was successfully created within the folder"
"passed","Thu Jul 27 16:13:01 GMT 2023","Thu Jul 27 16:13:03 GMT 2023","2261","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testPipelineSideMenuLinks","testPipelineSideMenuLinks","Verify after clicking on the 'Existing Job' we can see left panel with Side Menu links: Changes, Build Now,Configure, Delete Pipeline, Full Stage View, Rename, Pipeline Syntax"
"passed","Thu Jul 27 16:13:50 GMT 2023","Thu Jul 27 16:13:53 GMT 2023","2686","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamePipelineUsingSpecialCharacter","testRenamePipelineUsingSpecialCharacter","Verify 'Error' page is displayed and '‘<spChar>’ is an unsafe character' error message is displayed if rename pipeline using special character"
"passed","Thu Jul 27 16:14:51 GMT 2023","Thu Jul 27 16:14:54 GMT 2023","3092","Surefire suite","Surefire test","tests.OrganizationFolderTest","tests.OrganizationFolderTest","testConfigureOrganizationFolderWithName","testConfigureOrganizationFolderWithName","The 'Display name' can be added to the Organization Folder"
"passed","Thu Jul 27 16:17:37 GMT 2023","Thu Jul 27 16:17:41 GMT 2023","3711","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testDeleteUserGoingFromConfigureUserPage","testDeleteUserGoingFromConfigureUserPage","Delete user by 'Delete' on the side menu on the 'Configure user' page and verify that deleted user is not displayed on the 'People' page"
"passed","Thu Jul 27 16:16:42 GMT 2023","Thu Jul 27 16:16:44 GMT 2023","2145","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"passed","Thu Jul 27 16:15:38 GMT 2023","Thu Jul 27 16:15:38 GMT 2023","768","Surefire suite","Surefire test","tests.BuildHistoryTest","tests.BuildHistoryTest","testRedirectToMainPage","testRedirectToMainPage","Verify that click on Dashboard on 'BuildHistory' page redirects to the main page"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testViewFreestyleProjectPage","testViewFreestyleProjectPage","Verify if Project name link on the Dashboard forwards to appropriate Project page"
"passed","Thu Jul 27 16:22:17 GMT 2023","Thu Jul 27 16:22:19 GMT 2023","2023","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewMCProjectAsCopyFromExistingProject","testCreateNewMCProjectAsCopyFromExistingProject","Check if multi-configuration project can be created as a copy of existing project with description"
"passed","Thu Jul 27 16:15:17 GMT 2023","Thu Jul 27 16:15:18 GMT 2023","631","Surefire suite","Surefire test","tests.HeaderComponentTest","tests.HeaderComponentTest","testLogoHeadIconReloadMainPage","testLogoHeadIconReloadMainPage","Verify that 'Search' field value contains expected text {text} and clear after click on the Jenkins icon"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView",""
"passed","Thu Jul 27 16:20:11 GMT 2023","Thu Jul 27 16:20:15 GMT 2023","3676","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testMoveFreestyleProjectInFolderUsingDropDownMenu","testMoveFreestyleProjectInFolderUsingDropDownMenu","Verify the ability to create a 'Freestyle Project' in the folder"
"passed","Thu Jul 27 16:23:28 GMT 2023","Thu Jul 27 16:23:29 GMT 2023","1125","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateOrgFolder","testCreateOrgFolder","Verify that organization folder can be created"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","1","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testCheckFieldsDaysAndMaxNumberOfBuildsToKeepInConfigure","testCheckFieldsDaysAndMaxNumberOfBuildsToKeepInConfigure","Verify if 'Days to keep builds' and 'Max # of builds to keep' settings of 'Discard old builds' are displayed upon saved"
"passed","Thu Jul 27 16:20:51 GMT 2023","Thu Jul 27 16:20:54 GMT 2023","3032","Surefire suite","Surefire test","tests.MultiConfigurationProjectTest","tests.MultiConfigurationProjectTest","testMultiConfigurationProjectDisable","testMultiConfigurationProjectDisable",""
"passed","Thu Jul 27 16:17:19 GMT 2023","Thu Jul 27 16:17:21 GMT 2023","2068","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testGlobalViewAddBothFilters","testGlobalViewAddBothFilters",""
"passed","Thu Jul 27 16:15:41 GMT 2023","Thu Jul 27 16:15:42 GMT 2023","677","Surefire suite","Surefire test","tests.BuildHistoryTest","tests.BuildHistoryTest","testSMLIconsExist","testSMLIconsExist","Verify that 'Small', 'Medium', 'Large' icons are displayed on the 'Build History' page"
"passed","Thu Jul 27 16:14:09 GMT 2023","Thu Jul 27 16:14:12 GMT 2023","2549","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamePipelineUsingSpecialCharacter","testRenamePipelineUsingSpecialCharacter","Verify 'Error' page is displayed and '‘<spChar>’ is an unsafe character' error message is displayed if rename pipeline using special character"
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","1","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testCreateNewListViewWithExistingJob","testCreateNewListViewWithExistingJob",""
"skipped","Thu Jul 27 16:10:21 GMT 2023","Thu Jul 27 16:10:21 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView",""
"passed","Thu Jul 27 16:22:25 GMT 2023","Thu Jul 27 16:22:26 GMT 2023","616","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateMultibranchPipelineEmptyName","testCreateMultibranchPipelineEmptyName","Check if multibranch pipeline with empty name can be created"
"passed","Thu Jul 27 16:15:13 GMT 2023","Thu Jul 27 16:15:14 GMT 2023","624","Surefire suite","Surefire test","tests.HeaderComponentTest","tests.HeaderComponentTest","testCountAndNamesItemsInUserDropdownMenu","testCountAndNamesItemsInUserDropdownMenu","Verify a quantity and titles of User dropdown menu lines"
"passed","Thu Jul 27 16:12:58 GMT 2023","Thu Jul 27 16:13:00 GMT 2023","1708","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testPipelinePreviewDescription","testPipelinePreviewDescription","Verify the preview of description is displayed if fill out a description in the field of pipeline"
"passed","Thu Jul 27 16:23:12 GMT 2023","Thu Jul 27 16:23:14 GMT 2023","1805","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewPipelineWithDescription","testCreateNewPipelineWithDescription","Verify if pipeline project with description can be created"
"passed","Thu Jul 27 16:18:08 GMT 2023","Thu Jul 27 16:18:15 GMT 2023","7175","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testPluginManagerInstallPlugin","testPluginManagerInstallPlugin","Verify that installed plugin NOT found in 'Available' tab installed plugin but found in 'Installed' tab"
"passed","Thu Jul 27 16:09:58 GMT 2023","Thu Jul 27 16:09:59 GMT 2023","615","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testEditDescription","testEditDescription",""
"passed","Thu Jul 27 16:21:52 GMT 2023","Thu Jul 27 16:22:07 GMT 2023","14168","Surefire suite","Surefire test","tests.MultiConfigurationProjectTest","tests.MultiConfigurationProjectTest","testSetContentInThreeBuildStepsBuildStatusOnGitHubCommitSaved","testSetContentInThreeBuildStepsBuildStatusOnGitHubCommitSaved",""
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testBuildProjectWithPostBuildActionPublishJUnitReport","testBuildProjectWithPostBuildActionPublishJUnitReport","Check if the 'Latest Test Result' link and test result history chart appear on the project Status Page when the 'Publish JUnit test result report' option of the 'Add post-build actions' is used"
"skipped","Thu Jul 27 16:12:06 GMT 2023","Thu Jul 27 16:12:06 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testConfigureJobAsParameterized","testConfigureJobAsParameterized","Verify that expected parameters are saved and displayed after build is completed "
"passed","Thu Jul 27 16:15:16 GMT 2023","Thu Jul 27 16:15:17 GMT 2023","295","Surefire suite","Surefire test","tests.HeaderComponentTest","tests.HeaderComponentTest","testLogoHeadIconIsSeen","testLogoHeadIconIsSeen","Verify that Jenkins icon is displayed and enabled in the Header"
"passed","Thu Jul 27 16:19:17 GMT 2023","Thu Jul 27 16:19:21 GMT 2023","3269","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testCreateFolderInFolderFromCreateJob","testCreateFolderInFolderFromCreateJob","Verify the ability to create folder in the folder using the option 'Create a job'"
